id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4477814034470465,IwEiviKYh,7135376084,冷冷Silence,我正在#音乐人先锋榜#为@Dear-迪丽热巴@汪苏泷K偏偏(电视剧《三生三世枕上书》片尾曲)打榜！好音乐需要用行动来支持，你也来为喜欢的音乐人加油吧！,,,"Dear,汪苏泷",音乐人先锋榜,0,0,0,2020-03-01 23:45,Android,,,
4477813840834242,IwEic3v1w,6184847053,似风_,迪丽热巴大家都管住嘴好吗，不要到处带粉籍吃瓜，不要一言不合就口嗨，好不好，专注自家，看到别人不要一言不合就口嗨，专注自家，专注自家！,,,,,0,5,30,2020-03-01 23:44,迪丽热巴超话,['https://wx4.sinaimg.cn/large/006KyZfDly1gceuwrgfwqj30pv0e1dh3.jpg'],,
4477813787159172,IwEi6u2qw,5626258020,麻豆还在热巴怀里吐奶嘛,迪丽热巴这是什么宇宙无敌超级小可爱呀,,,,,0,2,4,2020-03-01 23:44,迪丽热巴超话,"['https://wx2.sinaimg.cn/large/0068LcJ6ly1gceuwttwp5g30ig0a8he2.jpg', 'https://wx4.sinaimg.cn/large/0068LcJ6ly1gceuwvra8cj30u010nwiy.jpg', 'https://wx4.sinaimg.cn/large/0068LcJ6ly1gceuwy8w9vg30rh0ibkjr.jpg']",,
4477813748419556,IwEi2zkji,7336168783,EE酱手绘头像,剧版三生三世枕上书#三生三世枕上书#迪丽热巴x高伟光帝君大型撒狗粮现场，帝君丝毫不在意别人的眼光，大家吃狗粮啊！LEE酱手绘头像的微博视频,,,,三生三世枕上书,0,0,0,2020-03-01 23:44,剧版三生三世枕上书超话,,"http://f.video.weibocdn.com/000OqiTIgx07BmPeAB5R01041200lHEr0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1d826f6f1a11607b0eef762fee9b15cd&ori=0&ps=1BVp4ysnknHVZu&Expires=1676270072&ssig=Ij0ZVkuReM&KID=unistore,video",
4477813686040957,IwEhWplwN,6689799343,稀饭poi,哎呦，不错哦！我在迪丽热巴凌凌七超话荣升LV.6等级，获得了活跃粉丝头衔！想和我一样晋级么？~想知道就来迪丽热巴凌凌七跟我聊聊吧~,,,,,0,0,0,2020-03-01 23:43,超话,,,
4477813669668817,IwEhUEziF,6689799343,稀饭poi,我在迪丽热巴官方粉丝群超话等级达到LV.6，获得活跃粉丝头衔，小伙伴们快来加入超话一起聊聊吧！超话传送门→迪丽热巴官方粉丝群,,,,,0,0,0,2020-03-01 23:43,超话,,,
4477813585633436,IwEhMnDvS,7235597306,是我的心头肉呀,迪丽热巴多了那么多新粉阿丝要积极打明天的超话榜哦，刷积分,,,,,0,4,10,2020-03-01 23:43,迪丽热巴超话,,,
4477813447360862,IwEhyuSTA,7278931011,DD88的容嬷嬷,迪丽热巴大家好！我是凌心（笔名）✨很高兴认识大家！我是一枚粉姐姐四年了的阿丝😊也是一个只修姐姐的修图博主也请大家多多关照✌微博旧号：守护迪棣的小仙女🌚微博旧名：Dear－迪迪卫88微博现名：DD88的容嬷嬷🌝爱好：馋迪美女的身子【相信不知我一人】对吧我的好朋友：@星辰忆酱-@抱紧小柚吖@中意甜热热鸭@Cherrne_迪三岁@迪seven@R1SE的兄弟@Eternity顾酥九@黑子不配拥有名字@夏日港星@小英笑哈哈@小丽果ag@兄棣伙_Dylan希望阿丝们也能眼熟我希望我们大家一起努力！！！👊👊演员迪丽热巴未来可期【xswl.咋感觉有点尴尬】,,,"星辰忆酱,抱紧小柚吖,中意甜热热鸭,Cherrne_迪三岁,迪seven,R1SE的兄弟,Eternity顾酥九,黑子不配拥有名字,夏日港星,小英笑哈哈,小丽果ag,兄棣伙_Dylan",,0,39,74,2020-03-01 23:43,迪丽热巴超话,"['https://wx2.sinaimg.cn/large/007WBEt5gy1gceunsm843j30pb190gw9.jpg', 'https://wx2.sinaimg.cn/large/007WBEt5gy1gceunt5o1rj30pb0gvn57.jpg', 'https://wx4.sinaimg.cn/large/007WBEt5gy1gceuntmuskj30pb0e8dn6.jpg', 'https://wx1.sinaimg.cn/large/007WBEt5gy1gceunujw2oj30pb0e8jyf.jpg', 'https://wx3.sinaimg.cn/large/007WBEt5gy1gceunv0swbj30xr0xrwgt.jpg', 'https://wx1.sinaimg.cn/large/007WBEt5gy1gceunvj2y7j30u00gw47o.jpg']",,
4477813405491090,IwEhun2tY,6375582107,颜璃fairy,迪丽热巴我曾经以为枕上书不播我最伤心，现在我才发现，原来它播了不更新我更伤心,,,,,0,3,21,2020-03-01 23:42,迪丽热巴超话,"['https://wx4.sinaimg.cn/large/006Xti9tly1gceuu03hntg30xr0o0qvd.jpg', 'https://wx2.sinaimg.cn/large/006Xti9tly1gceuu5u43ng30u00u04qx.jpg', 'https://wx1.sinaimg.cn/large/006Xti9tly1gceuufakazg30xc0m81le.jpg', 'https://wx2.sinaimg.cn/large/006Xti9tly1gceuujapyvg312q0m8he1.jpg', 'https://wx4.sinaimg.cn/large/006Xti9tly1gceuup3m1ag30dw0cukjy.jpg', 'https://wx3.sinaimg.cn/large/006Xti9tly1gceuuuaco0g30go0fcnpl.jpg', 'https://wx1.sinaimg.cn/large/006Xti9tly1gceuv309yvg31ce0u07x1.jpg', 'https://wx3.sinaimg.cn/large/006Xti9tly1gceuvbzvxwg30xz0o04r3.jpg', 'https://wx2.sinaimg.cn/large/006Xti9tly1gceuvlarsxg30nm0nmqvj.jpg']",,
4477813320773048,IwEhm3f6w,1795994180,娱乐News,四部女配比女主还要上头的电视剧，陈瑶《无心法师》、陈乔恩《笑傲江湖》、迪丽热巴《克拉恋人》、宋轶《伪装者》，你们都看过了么？,,,,,104,111,368,2020-03-01 23:42,,"['https://wx4.sinaimg.cn/large/6b0cb244gy1gceuudk68mj20jg0ykq4f.jpg', 'https://wx1.sinaimg.cn/large/6b0cb244gy1gceuue7horj20gt09hk1q.jpg', 'https://wx2.sinaimg.cn/large/6b0cb244gy1gceuueql7ij20ja09uaba.jpg', 'https://wx3.sinaimg.cn/large/6b0cb244gy1gceuuf5oy7j20u00gwtah.jpg']",,
4477812846718874,IwEgAsbSW,6998073462,旎的福气在后头呢,三月快乐，晚安@Dear-迪丽热巴,,,Dear,,0,0,0,2020-03-01 23:40,热巴的爱丽丝,,,
